period,month_num,month_name,oat_f,elec_kwh,gas_therms,nra_active,notes
baseline,1,Jan,33.0,8909.7,1396.6,0,
baseline,2,Feb,34.9,8086.5,1330.1,0,
baseline,3,Mar,45.9,9115.5,1149.5,0,
baseline,4,Apr,54.4,8397.5,764.6,0,
baseline,5,May,64.7,9402.0,371.8,0,
baseline,6,Jun,72.5,9744.7,103.9,0,
baseline,7,Jul,76.1,10531.4,8.5,0,
baseline,8,Aug,73.4,10875.5,13.3,0,
baseline,9,Sep,68.2,9727.8,59.0,0,
baseline,10,Oct,53.5,9137.8,363.9,0,
baseline,11,Nov,46.1,8772.5,733.3,0,
baseline,12,Dec,33.8,8736.3,1295.1,0,
reporting,1,Jan,33.0,7240.8,1438.4,0,
reporting,2,Feb,34.9,6564.8,1367.5,0,
reporting,3,Mar,45.9,7383.8,1194.9,0,
reporting,4,Apr,54.4,6840.7,796.5,0,
reporting,5,May,64.7,7539.3,386.2,0,
reporting,6,Jun,72.5,7879.0,107.6,0,
reporting,7,Jul,76.1,8758.7,9.3,0,
reporting,8,Aug,73.4,8987.5,14.1,0,
reporting,9,Sep,68.2,8352.5,89.3,1,Community room addition — NRA trigger
reporting,10,Oct,53.5,7787.3,403.9,1,NRA ongoing
reporting,11,Nov,46.1,7530.8,798.8,1,NRA ongoing
reporting,12,Dec,33.8,7533.9,1365.8,1,NRA ongoing
