Time,OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],OFFICE::Des Latent Heat Load [W],OFFICE::Des Latent Cool Load [W],OFFICE::Des Latent Heat Mass Flow [kg/s],OFFICE::Des Latent Cool Mass Flow [kg/s],OFFICE::Des Heat Load No DOAS [W],OFFICE::Des Sens Cool Load No DOAS [W],OFFICE::Des Latent Heat Load No DOAS [W],OFFICE::Des Latent Cool Load No DOAS [W],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LOBBY::Des Latent Heat Load [W],LOBBY::Des Latent Cool Load [W],LOBBY::Des Latent Heat Mass Flow [kg/s],LOBBY::Des Latent Cool Mass Flow [kg/s],LOBBY::Des Heat Load No DOAS [W],LOBBY::Des Sens Cool Load No DOAS [W],LOBBY::Des Latent Heat Load No DOAS [W],LOBBY::Des Latent Cool Load No DOAS [W],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,2.362090E+04,0.000000E+00,8.015326E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.131119E+01,6.176976E+01,1.065449E+04,0.000000E+00,3.482843E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.227805E+01,4.737101E+01
00:30:00,2.362136E+04,0.000000E+00,8.015483E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.126974E+01,6.192701E+01,1.065857E+04,0.000000E+00,3.484179E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.221924E+01,4.754094E+01
00:45:00,2.362173E+04,0.000000E+00,8.015609E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.123000E+01,6.207815E+01,1.066195E+04,0.000000E+00,3.485284E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.216484E+01,4.769872E+01
01:00:00,2.362203E+04,0.000000E+00,8.015712E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.119183E+01,6.222373E+01,1.066483E+04,0.000000E+00,3.486225E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.211498E+01,4.784383E+01
01:15:00,2.362229E+04,0.000000E+00,8.015797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.115507E+01,6.236431E+01,1.066736E+04,0.000000E+00,3.487051E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.206884E+01,4.797860E+01
01:30:00,2.362250E+04,0.000000E+00,8.015868E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.111982E+01,6.249943E+01,1.066959E+04,0.000000E+00,3.487781E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.202576E+01,4.810479E+01
01:45:00,2.362270E+04,0.000000E+00,8.015938E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.110006E+01,6.256828E+01,1.067182E+04,0.000000E+00,3.488508E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.198526E+01,4.822377E+01
02:00:00,2.362290E+04,0.000000E+00,8.016006E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.110010E+01,6.254925E+01,1.067393E+04,0.000000E+00,3.489200E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.194713E+01,4.833609E+01
02:15:00,2.362310E+04,0.000000E+00,8.016072E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.110009E+01,6.252488E+01,1.067588E+04,0.000000E+00,3.489835E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.191119E+01,4.844221E+01
02:30:00,2.362328E+04,0.000000E+00,8.016135E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110000E+01,5.090892E+01,2.110012E+01,6.249474E+01,1.067764E+04,0.000000E+00,3.490412E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.187739E+01,4.854228E+01
