Time,OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],OFFICE::Des Latent Heat Load [W],OFFICE::Des Latent Cool Load [W],OFFICE::Des Latent Heat Mass Flow [kg/s],OFFICE::Des Latent Cool Mass Flow [kg/s],OFFICE::Des Heat Load No DOAS [W],OFFICE::Des Sens Cool Load No DOAS [W],OFFICE::Des Latent Heat Load No DOAS [W],OFFICE::Des Latent Cool Load No DOAS [W],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],OFFICE:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],OFFICE:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LOBBY::Des Latent Heat Load [W],LOBBY::Des Latent Cool Load [W],LOBBY::Des Latent Heat Mass Flow [kg/s],LOBBY::Des Latent Cool Mass Flow [kg/s],LOBBY::Des Heat Load No DOAS [W],LOBBY::Des Sens Cool Load No DOAS [W],LOBBY::Des Latent Heat Load No DOAS [W],LOBBY::Des Latent Cool Load No DOAS [W],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LOBBY:DULLES ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],LOBBY:DULLES ANN CLG 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,2.364688E+04,0.000000E+00,8.026921E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.131109E+01,6.102542E+01,1.065335E+04,0.000000E+00,3.482473E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.227803E+01,4.737108E+01
00:30:00,2.364734E+04,0.000000E+00,8.027077E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.126964E+01,6.118075E+01,1.065744E+04,0.000000E+00,3.483808E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.221922E+01,4.754100E+01
00:45:00,2.364772E+04,0.000000E+00,8.027204E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.122991E+01,6.133004E+01,1.066082E+04,0.000000E+00,3.484914E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.216482E+01,4.769877E+01
01:00:00,2.364802E+04,0.000000E+00,8.027307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.119175E+01,6.147384E+01,1.066370E+04,0.000000E+00,3.485855E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.211497E+01,4.784388E+01
01:15:00,2.364827E+04,0.000000E+00,8.027392E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.115499E+01,6.161270E+01,1.066623E+04,0.000000E+00,3.486680E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.206882E+01,4.797865E+01
01:30:00,2.364848E+04,0.000000E+00,8.027463E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.111975E+01,6.174617E+01,1.066846E+04,0.000000E+00,3.487411E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.202574E+01,4.810483E+01
01:45:00,2.364868E+04,0.000000E+00,8.027533E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.111008E+01,6.177146E+01,1.067068E+04,0.000000E+00,3.488138E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.198524E+01,4.822381E+01
02:00:00,2.364888E+04,0.000000E+00,8.027601E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.111008E+01,6.175209E+01,1.067280E+04,0.000000E+00,3.488830E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.194713E+01,4.833608E+01
02:15:00,2.364908E+04,0.000000E+00,8.027667E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.111010E+01,6.172727E+01,1.067474E+04,0.000000E+00,3.489465E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.191124E+01,4.844207E+01
02:30:00,2.364926E+04,0.000000E+00,8.027730E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.111000E+01,5.087766E+01,2.111012E+01,6.169716E+01,1.067651E+04,0.000000E+00,3.490042E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,5.448298E+01,2.187749E+01,4.854199E+01
